supplier_id,ingredient,delivery_date,delivery_time,quantity_delivered,quality_score,on_time_delivery
Supplier A,Beef,2025-01-29,17:45,413,4.9,True
Supplier B,Cheese,2025-03-17,13:30,985,4.2,False
Supplier B,Eggs,2025-03-14,11:45,605,3.6,False
Supplier A,Lettuce,2025-01-08,11:15,70,4.1,True
Supplier B,Bread,2025-01-17,13:15,990,4.6,False
Supplier A,Lettuce,2025-01-19,17:15,842,3.2,False
Supplier C,Tomato,2025-03-26,14:00,394,3.6,True
Supplier D,Cheese,2025-03-23,15:30,228,4.4,False
Supplier B,Chicken,2025-02-18,12:30,180,3.4,True
Supplier D,Pizza Dough,2025-03-14,8:15,666,3.6,True
Supplier A,Pasta,2025-03-05,10:30,813,3.2,False
Supplier B,Bread,2025-03-23,9:30,507,3.0,True
Supplier A,Chicken,2025-02-14,12:00,787,3.0,False
Supplier D,Potato,2025-01-22,14:45,952,3.8,False
Supplier D,Tomato,2025-03-15,18:15,216,3.9,True
Supplier A,Beef,2025-02-10,12:00,125,3.7,False
Supplier A,Cheese,2025-03-12,9:30,658,5.0,False
Supplier A,Pizza Dough,2025-02-25,18:15,671,4.8,True
Supplier A,Lettuce,2025-02-12,11:15,469,4.4,False
Supplier C,Pasta,2025-02-08,11:00,100,3.8,False
Supplier A,Cheese,2025-02-16,8:45,139,3.6,False
Supplier A,Chicken,2025-01-04,11:15,703,3.6,True
Supplier A,Potato,2025-02-09,14:45,550,4.8,False
Supplier D,Tomato,2025-01-24,13:45,428,3.4,True
Supplier D,Beef,2025-03-01,12:15,907,3.5,True
Supplier A,Cheese,2025-01-11,18:30,877,4.1,True
Supplier A,Milk,2025-02-19,16:45,598,4.4,False
Supplier B,Eggs,2025-03-02,12:00,454,4.8,True
Supplier B,Milk,2025-01-16,15:15,221,4.9,True
Supplier A,Cheese,2025-02-24,9:45,256,5.0,True
Supplier C,Rice,2025-02-10,9:00,447,4.1,False
Supplier C,Rice,2025-03-08,15:00,855,4.4,False
Supplier D,Tomato,2025-01-20,10:00,997,3.2,True
Supplier C,Sauce,2025-03-10,13:45,320,3.8,False
Supplier D,Eggs,2025-01-05,10:30,462,3.3,False
Supplier D,Lettuce,2025-02-12,11:00,813,4.0,False
Supplier C,Fish,2025-01-03,13:30,368,3.6,False
Supplier A,Rice,2025-01-30,10:30,811,3.9,False
Supplier D,Beef,2025-03-19,18:00,242,3.9,False
Supplier D,Pizza Dough,2025-03-08,13:00,577,4.6,True
Supplier D,Beef,2025-01-18,16:00,227,3.4,True
Supplier A,Rice,2025-02-01,8:45,101,4.8,True
Supplier C,Beef,2025-03-01,16:45,700,4.8,True
Supplier C,Chicken,2025-03-04,17:45,231,4.9,False
Supplier C,Eggs,2025-02-14,10:30,816,4.7,True
Supplier A,Beef,2025-02-19,8:15,924,4.1,True
Supplier B,Rice,2025-03-24,11:15,325,4.3,True
Supplier A,Rice,2025-03-02,10:15,665,4.6,True
Supplier C,Beef,2025-03-24,12:45,966,3.8,False
Supplier C,Potato,2025-01-28,15:30,743,4.0,False
Supplier A,Eggs,2025-01-01,16:30,624,4.3,False
Supplier A,Beef,2025-03-03,9:30,333,4.3,False
Supplier C,Beef,2025-01-25,10:15,971,3.1,False
Supplier C,Pasta,2025-03-29,10:00,721,4.0,False
Supplier D,Beef,2025-02-21,14:00,647,4.4,True
Supplier B,Bread,2025-03-29,16:45,978,4.9,False
Supplier C,Milk,2025-01-22,18:15,350,3.2,True
Supplier C,Pizza Dough,2025-03-13,10:30,720,3.2,False
Supplier C,Chicken,2025-02-23,13:30,316,4.2,False
Supplier A,Rice,2025-03-02,8:00,533,4.8,True
Supplier D,Rice,2025-03-09,12:45,105,4.7,True
Supplier B,Cheese,2025-02-13,14:45,196,3.6,True
Supplier A,Sauce,2025-03-04,13:15,370,4.3,True
Supplier C,Potato,2025-01-27,10:15,551,4.6,True
Supplier D,Cheese,2025-03-23,14:45,489,4.9,False
Supplier A,Lettuce,2025-03-10,11:30,64,4.8,True
Supplier A,Lettuce,2025-03-22,11:15,760,4.8,False
Supplier A,Cheese,2025-02-19,16:30,221,3.1,True
Supplier C,Beef,2025-02-28,16:30,494,4.8,True
Supplier D,Bread,2025-02-15,11:15,978,4.8,False
Supplier B,Lettuce,2025-01-29,10:15,801,3.0,True
Supplier C,Tomato,2025-03-25,8:45,947,4.3,True
Supplier A,Eggs,2025-03-26,9:00,99,4.4,False
Supplier D,Potato,2025-01-16,16:30,535,4.4,True
Supplier A,Pizza Dough,2025-02-08,14:00,728,4.0,True
Supplier A,Tortilla,2025-03-07,17:00,339,3.2,True
Supplier B,Potato,2025-03-19,11:30,901,4.0,True
Supplier D,Bread,2025-02-07,10:00,611,4.0,True
Supplier D,Pizza Dough,2025-02-12,11:00,63,4.3,True
Supplier D,Rice,2025-01-20,9:00,790,4.4,False
Supplier B,Pasta,2025-02-28,12:30,525,3.1,True
Supplier A,Rice,2025-02-07,13:30,486,4.5,True
Supplier A,Rice,2025-01-02,10:15,386,3.7,False
Supplier C,Eggs,2025-01-12,13:30,237,3.2,False
Supplier C,Potato,2025-02-19,15:45,714,4.8,True
Supplier B,Tomato,2025-03-31,8:15,156,3.8,False
Supplier D,Sauce,2025-01-24,17:45,847,3.7,True
Supplier B,Rice,2025-03-03,15:00,958,3.8,True
Supplier C,Tomato,2025-03-25,13:00,771,4.7,True
Supplier C,Pasta,2025-03-08,16:00,493,4.3,True
Supplier C,Potato,2025-03-26,18:45,202,4.7,True
Supplier B,Lettuce,2025-03-06,15:45,940,3.3,False
Supplier B,Bread,2025-02-12,12:00,569,3.4,False
Supplier B,Tortilla,2025-01-11,15:45,870,4.1,True
Supplier D,Rice,2025-02-27,13:00,559,4.5,True
Supplier D,Tomato,2025-02-22,8:00,895,3.2,False
Supplier B,Fish,2025-03-25,18:45,399,3.7,True
Supplier B,Rice,2025-02-28,13:45,783,4.3,False
Supplier A,Tomato,2025-03-26,11:00,399,3.7,False
Supplier C,Milk,2025-03-31,9:00,968,3.3,True
Supplier D,Rice,2025-01-14,12:15,242,3.2,False
Supplier D,Chicken,2025-01-25,13:00,825,3.8,True
Supplier D,Sauce,2025-02-28,18:15,560,3.0,True
Supplier D,Milk,2025-03-16,15:15,758,4.2,True
Supplier D,Tomato,2025-03-26,17:30,566,4.8,False
Supplier B,Eggs,2025-02-05,14:30,351,3.9,True
Supplier D,Cheese,2025-03-19,16:30,913,4.4,False
Supplier B,Pizza Dough,2025-01-26,11:30,753,3.7,True
Supplier B,Pizza Dough,2025-03-06,16:30,777,3.2,False
Supplier D,Milk,2025-03-16,17:45,740,4.5,False
