date,menu_item,quantity_sold,price_per_unit,total_sales
2025-01-19,Steak,52,12.39,644.28
2025-01-19,Pasta,62,12.63,783.0600000000001
2025-01-19,Salad,41,6.2,254.20000000000002
2025-01-19,Sushi,99,4.3,425.7
2025-01-19,Ice Cream,14,13.3,186.20000000000002
2025-01-19,Grilled Sandwich,38,5.39,204.82
2025-01-19,Burger,68,7.2,489.6
2025-01-20,Salad,45,13.37,601.65
2025-01-20,Burger,45,7.21,324.45
2025-01-20,Ice Cream,75,7.8,585.0
2025-01-20,Veg Wrap,78,6.97,543.66
2025-01-20,Grilled Sandwich,13,4.38,56.94
2025-01-20,Fried Chicken,43,5.14,221.01999999999998
2025-01-21,Burger,87,14.81,1288.47
2025-01-21,Pizza,24,7.62,182.88
2025-01-21,Smoothie,83,5.28,438.24
2025-01-21,Grilled Sandwich,15,11.51,172.65
2025-01-21,Fried Chicken,10,9.24,92.4
2025-01-21,Ice Cream,78,11.24,876.72
2025-01-21,Steak,95,5.36,509.20000000000005
2025-01-22,Pizza,95,7.9,750.5
2025-01-22,Ice Cream,61,11.37,693.5699999999999
2025-01-22,Fried Chicken,80,4.53,362.40000000000003
2025-01-22,Smoothie,63,10.98,691.74
2025-01-22,Sushi,58,11.13,645.5400000000001
2025-01-22,Veg Wrap,32,10.39,332.48
2025-01-22,Tacos,48,7.87,377.76
2025-01-22,Soup,10,6.65,66.5
2025-01-23,Grilled Sandwich,69,8.3,572.7
2025-01-23,Sushi,96,5.56,533.76
2025-01-23,Smoothie,70,12.52,876.4
2025-01-23,Burrito,31,10.91,338.21
2025-01-23,Ice Cream,46,9.19,422.73999999999995
2025-01-23,Fried Chicken,91,10.43,949.13
2025-01-24,Burrito,38,12.68,481.84
2025-01-24,Sushi,28,3.29,92.12
2025-01-24,Salad,41,14.81,607.21
2025-01-24,Ice Cream,88,13.2,1161.6
2025-01-24,Tacos,19,8.46,160.74
2025-01-25,Smoothie,98,3.07,300.85999999999996
2025-01-25,Salad,23,12.34,283.82
2025-01-25,Steak,38,5.11,194.18
2025-01-25,Sushi,99,9.22,912.7800000000001
2025-01-25,Grilled Sandwich,16,9.69,155.04
2025-01-25,Fries,25,8.48,212.0
2025-01-25,Ice Cream,69,11.01,759.6899999999999
2025-01-25,Burrito,81,10.15,822.15
2025-01-25,Pizza,66,10.35,683.1
2025-01-25,Fried Chicken,74,8.12,600.88
2025-01-26,Fries,76,8.82,670.32
2025-01-26,Pasta,40,6.3,252.0
2025-01-26,Steak,19,11.56,219.64000000000001
2025-01-26,Veg Wrap,40,6.26,250.39999999999998
2025-01-26,Sushi,50,13.72,686.0
2025-01-26,Tacos,20,4.66,93.2
2025-01-26,Salad,39,7.6,296.4
2025-01-26,Smoothie,29,11.48,332.92
2025-01-26,Grilled Sandwich,18,7.98,143.64000000000001
2025-01-27,Soup,84,14.35,1205.3999999999999
2025-01-27,Fries,12,13.28,159.35999999999999
2025-01-27,Grilled Sandwich,83,7.56,627.48
2025-01-27,Burger,10,14.31,143.1
2025-01-27,Salad,48,12.04,577.92
2025-01-27,Sushi,63,9.46,595.98
2025-01-27,Smoothie,79,12.6,995.4
2025-01-28,Fries,59,7.03,414.77000000000004
2025-01-28,Salad,96,12.58,1207.68
2025-01-28,Tacos,31,13.09,405.79
2025-01-28,Grilled Sandwich,26,14.77,384.02
2025-01-28,Veg Wrap,78,3.32,258.96
2025-01-28,Burger,60,10.1,606.0
2025-01-29,Burger,51,5.54,282.54
2025-01-29,Pizza,51,7.05,359.55
2025-01-29,Ice Cream,58,6.34,367.71999999999997
2025-01-29,Grilled Sandwich,63,6.03,379.89000000000004
2025-01-29,Pasta,20,8.64,172.8
2025-01-29,Fries,79,3.63,286.77
2025-01-29,Sushi,54,5.69,307.26000000000005
2025-01-29,Veg Wrap,18,12.37,222.66
2025-01-29,Soup,93,3.48,323.64
2025-01-29,Salad,13,14.4,187.20000000000002
2025-01-30,Burrito,70,11.03,772.0999999999999
2025-01-30,Burger,82,14.37,1178.34
2025-01-30,Smoothie,69,11.39,785.9100000000001
2025-01-30,Pasta,57,5.01,285.57
2025-01-30,Salad,87,14.56,1266.72
2025-01-30,Steak,24,12.33,295.92
2025-01-31,Tacos,96,13.9,1334.4
2025-01-31,Pizza,58,7.76,450.08
2025-01-31,Smoothie,35,3.91,136.85
2025-01-31,Burger,98,12.97,1271.0600000000002
2025-01-31,Veg Wrap,41,4.22,173.01999999999998
2025-01-31,Sushi,48,13.2,633.5999999999999
2025-02-01,Sushi,57,3.83,218.31
2025-02-01,Pizza,92,7.09,652.28
2025-02-01,Veg Wrap,63,12.87,810.81
2025-02-01,Smoothie,23,8.2,188.6
2025-02-01,Burger,56,10.63,595.2800000000001
2025-02-01,Fried Chicken,68,11.49,781.32
2025-02-01,Soup,65,5.11,332.15000000000003
2025-02-01,Grilled Sandwich,76,14.59,1108.84
2025-02-01,Steak,44,10.39,457.16
2025-02-02,Sushi,21,6.35,133.35
2025-02-02,Fries,67,5.93,397.31
2025-02-02,Burrito,69,9.84,678.96
2025-02-02,Grilled Sandwich,95,7.55,717.25
2025-02-02,Smoothie,13,8.93,116.09
2025-02-02,Tacos,51,5.18,264.18
2025-02-02,Fried Chicken,37,7.26,268.62
2025-02-02,Salad,43,7.08,304.44
2025-02-02,Steak,86,11.41,981.26
2025-02-03,Soup,72,9.66,695.52
2025-02-03,Burger,40,11.29,451.59999999999997
2025-02-03,Veg Wrap,92,11.54,1061.6799999999998
2025-02-03,Salad,67,12.52,838.8399999999999
2025-02-03,Pizza,21,6.53,137.13
2025-02-03,Steak,61,11.3,689.3000000000001
2025-02-03,Grilled Sandwich,49,10.97,537.5300000000001
2025-02-04,Fries,55,11.43,628.65
2025-02-04,Soup,44,6.68,293.91999999999996
2025-02-04,Burrito,39,4.45,173.55
2025-02-04,Fried Chicken,34,6.79,230.86
2025-02-04,Grilled Sandwich,78,14.41,1123.98
2025-02-04,Sushi,98,5.22,511.56
2025-02-04,Steak,37,11.86,438.82
2025-02-05,Steak,34,6.55,222.7
2025-02-05,Smoothie,56,5.15,288.40000000000003
2025-02-05,Sushi,11,11.5,126.5
2025-02-05,Soup,26,6.29,163.54
2025-02-05,Burrito,16,9.64,154.24
2025-02-05,Tacos,99,14.33,1418.67
2025-02-05,Pizza,91,13.42,1221.22
2025-02-06,Pizza,53,5.21,276.13
2025-02-06,Burrito,16,6.03,96.48
2025-02-06,Burger,71,4.37,310.27
2025-02-06,Smoothie,18,7.81,140.57999999999998
2025-02-06,Tacos,19,9.92,188.48
2025-02-06,Fries,97,3.64,353.08
2025-02-06,Steak,29,12.73,369.17
2025-02-06,Soup,48,4.02,192.95999999999998
2025-02-07,Pizza,89,5.71,508.19
2025-02-07,Soup,76,7.56,574.56
2025-02-07,Sushi,66,6.57,433.62
2025-02-07,Grilled Sandwich,85,14.88,1264.8
2025-02-07,Smoothie,49,9.82,481.18
2025-02-07,Ice Cream,17,10.32,175.44
2025-02-08,Pizza,80,3.9,312.0
2025-02-08,Sushi,10,7.9,79.0
2025-02-08,Salad,98,10.13,992.7400000000001
2025-02-08,Ice Cream,47,3.39,159.33
2025-02-08,Burrito,46,11.48,528.08
2025-02-08,Tacos,99,13.32,1318.68
2025-02-08,Veg Wrap,19,11.25,213.75
2025-02-08,Pasta,43,12.45,535.35
2025-02-08,Soup,90,10.08,907.2
2025-02-08,Grilled Sandwich,35,8.1,283.5
2025-02-09,Salad,49,10.14,496.86
2025-02-09,Ice Cream,82,14.05,1152.1000000000001
2025-02-09,Pasta,66,4.49,296.34000000000003
2025-02-09,Tacos,98,6.65,651.7
2025-02-09,Sushi,61,14.31,872.9100000000001
2025-02-09,Pizza,74,9.48,701.52
2025-02-09,Burger,66,3.97,262.02000000000004
2025-02-09,Burrito,15,13.67,205.05
2025-02-09,Grilled Sandwich,51,10.24,522.24
2025-02-10,Pizza,12,14.99,179.88
2025-02-10,Salad,96,12.86,1234.56
2025-02-10,Ice Cream,83,3.48,288.84
2025-02-10,Smoothie,32,8.65,276.8
2025-02-10,Steak,93,8.31,772.83
2025-02-11,Pasta,54,7.9,426.6
2025-02-11,Smoothie,51,11.04,563.04
2025-02-11,Grilled Sandwich,30,6.96,208.8
2025-02-11,Ice Cream,98,8.95,877.0999999999999
2025-02-11,Fries,94,14.34,1347.96
2025-02-11,Pizza,80,3.44,275.2
2025-02-11,Steak,21,6.77,142.17
2025-02-12,Pizza,62,3.65,226.29999999999998
2025-02-12,Sushi,76,7.34,557.84
2025-02-12,Grilled Sandwich,73,10.5,766.5
2025-02-12,Soup,16,5.44,87.04
2025-02-12,Burger,80,4.57,365.6
2025-02-12,Steak,46,8.26,379.96
2025-02-12,Fries,99,8.82,873.1800000000001
2025-02-13,Ice Cream,49,9.61,470.89
2025-02-13,Smoothie,80,7.9,632.0
2025-02-13,Sushi,38,14.91,566.58
2025-02-13,Salad,24,8.54,204.95999999999998
2025-02-13,Pasta,25,10.77,269.25
2025-02-14,Fries,71,14.76,1047.96
2025-02-14,Steak,41,8.48,347.68
2025-02-14,Tacos,28,7.6,212.79999999999998
2025-02-14,Soup,86,9.1,782.6
2025-02-14,Sushi,27,13.37,360.98999999999995
2025-02-14,Grilled Sandwich,45,12.27,552.15
2025-02-15,Fried Chicken,29,8.36,242.44
2025-02-15,Sushi,71,7.14,506.94
2025-02-15,Soup,80,12.15,972.0
2025-02-15,Tacos,58,8.46,490.68000000000006
2025-02-15,Burger,51,13.44,685.4399999999999
2025-02-15,Steak,99,5.87,581.13
2025-02-15,Smoothie,59,5.8,342.2
2025-02-15,Fries,62,3.52,218.24
2025-02-16,Fries,85,6.98,593.3000000000001
2025-02-16,Steak,22,13.49,296.78000000000003
2025-02-16,Sushi,66,4.2,277.2
2025-02-16,Grilled Sandwich,68,3.18,216.24
2025-02-16,Burrito,28,7.92,221.76
2025-02-16,Pasta,93,14.64,1361.52
2025-02-16,Veg Wrap,19,8.63,163.97000000000003
2025-02-16,Burger,43,7.06,303.58
2025-02-16,Pizza,98,7.77,761.4599999999999
2025-02-16,Tacos,20,13.22,264.40000000000003
2025-02-17,Burrito,40,10.57,422.8
2025-02-17,Soup,46,14.97,688.62
2025-02-17,Grilled Sandwich,21,8.21,172.41000000000003
2025-02-17,Fried Chicken,22,12.12,266.64
2025-02-17,Ice Cream,100,13.47,1347.0
2025-02-17,Fries,66,5.0,330.0
2025-02-17,Veg Wrap,48,13.84,664.3199999999999
2025-02-17,Burger,15,6.89,103.35
2025-02-17,Tacos,17,6.52,110.83999999999999
2025-02-17,Smoothie,57,8.17,465.69
2025-02-18,Soup,32,3.95,126.4
2025-02-18,Grilled Sandwich,58,10.44,605.52
2025-02-18,Smoothie,40,8.97,358.8
2025-02-18,Ice Cream,84,4.72,396.47999999999996
2025-02-18,Pasta,69,10.65,734.85
2025-02-18,Steak,68,6.06,412.08
2025-02-19,Veg Wrap,79,4.9,387.1
2025-02-19,Sushi,66,14.34,946.4399999999999
2025-02-19,Fries,85,6.59,560.15
2025-02-19,Tacos,64,11.28,721.92
2025-02-19,Ice Cream,68,13.14,893.52
2025-02-20,Grilled Sandwich,83,7.31,606.73
2025-02-20,Burrito,47,14.91,700.77
2025-02-20,Fries,47,3.26,153.22
2025-02-20,Pizza,94,7.75,728.5
2025-02-20,Salad,11,9.79,107.69
2025-02-20,Veg Wrap,97,12.34,1196.98
2025-02-21,Veg Wrap,39,10.28,400.91999999999996
2025-02-21,Smoothie,55,5.63,309.65
2025-02-21,Steak,34,10.45,355.29999999999995
2025-02-21,Fries,96,12.07,1158.72
2025-02-21,Tacos,94,11.17,1049.98
2025-02-22,Ice Cream,66,3.4,224.4
2025-02-22,Pizza,56,11.79,660.24
2025-02-22,Veg Wrap,21,13.92,292.32
2025-02-22,Sushi,51,11.97,610.47
2025-02-22,Burger,32,5.41,173.12
2025-02-22,Tacos,79,13.52,1068.08
2025-02-23,Soup,53,12.65,670.45
2025-02-23,Veg Wrap,69,14.55,1003.95
2025-02-23,Tacos,28,12.05,337.40000000000003
2025-02-23,Pasta,38,13.32,506.16
2025-02-23,Sushi,96,14.76,1416.96
2025-02-23,Fries,81,7.39,598.5899999999999
2025-02-23,Ice Cream,60,3.17,190.2
2025-02-24,Pizza,96,5.81,557.76
2025-02-24,Fries,13,10.43,135.59
2025-02-24,Fried Chicken,81,6.94,562.14
2025-02-24,Ice Cream,88,5.66,498.08000000000004
2025-02-24,Steak,18,10.62,191.16
2025-02-24,Tacos,69,13.91,959.79
2025-02-24,Grilled Sandwich,48,10.79,517.92
2025-02-24,Sushi,24,4.68,112.32
2025-02-24,Burger,14,6.65,93.10000000000001
2025-02-25,Pizza,95,14.39,1367.05
2025-02-25,Veg Wrap,99,14.35,1420.6499999999999
2025-02-25,Salad,63,10.05,633.1500000000001
2025-02-25,Soup,29,13.62,394.97999999999996
2025-02-25,Pasta,93,4.19,389.67
2025-02-25,Grilled Sandwich,72,10.39,748.08
2025-02-25,Fries,45,3.39,152.55
2025-02-25,Fried Chicken,57,5.61,319.77000000000004
2025-02-26,Salad,17,7.78,132.26
2025-02-26,Burrito,34,14.62,497.08
2025-02-26,Fried Chicken,68,4.1,278.79999999999995
2025-02-26,Pizza,37,10.7,395.9
2025-02-26,Ice Cream,86,14.65,1259.9
2025-02-26,Sushi,16,12.44,199.04
2025-02-26,Soup,41,14.87,609.67
2025-02-26,Smoothie,82,5.46,447.71999999999997
2025-02-27,Salad,28,14.85,415.8
2025-02-27,Smoothie,79,6.01,474.78999999999996
2025-02-27,Veg Wrap,32,4.32,138.24
2025-02-27,Sushi,13,4.58,59.54
2025-02-27,Fried Chicken,55,12.48,686.4
2025-02-27,Pasta,40,10.07,402.8
2025-02-27,Burger,12,5.09,61.08
2025-02-27,Tacos,16,4.52,72.32
2025-02-27,Grilled Sandwich,63,9.31,586.5300000000001
2025-02-28,Pizza,88,3.52,309.76
2025-02-28,Fries,94,9.26,870.4399999999999
2025-02-28,Burrito,68,10.72,728.96
2025-02-28,Fried Chicken,13,3.73,48.49
2025-02-28,Soup,71,13.17,935.07
2025-02-28,Smoothie,64,11.23,718.72
2025-02-28,Veg Wrap,72,11.55,831.6
2025-02-28,Sushi,66,3.88,256.08
2025-02-28,Tacos,20,6.87,137.4
2025-02-28,Ice Cream,28,3.79,106.12
2025-03-01,Smoothie,47,8.44,396.67999999999995
2025-03-01,Ice Cream,87,8.16,709.92
2025-03-01,Veg Wrap,99,4.37,432.63
2025-03-01,Soup,93,10.81,1005.33
2025-03-01,Fried Chicken,80,11.65,932.0
2025-03-01,Grilled Sandwich,37,8.16,301.92
2025-03-01,Steak,39,7.97,310.83
2025-03-02,Grilled Sandwich,57,14.44,823.0799999999999
2025-03-02,Veg Wrap,97,14.08,1365.76
2025-03-02,Steak,18,4.09,73.62
2025-03-02,Pizza,20,4.12,82.4
2025-03-02,Fried Chicken,22,11.94,262.68
2025-03-02,Burrito,57,12.74,726.1800000000001
2025-03-02,Ice Cream,81,3.72,301.32
2025-03-02,Tacos,81,9.74,788.94
2025-03-03,Pizza,83,9.09,754.47
2025-03-03,Grilled Sandwich,29,10.88,315.52000000000004
2025-03-03,Fried Chicken,38,13.17,500.46
2025-03-03,Ice Cream,54,13.14,709.5600000000001
2025-03-03,Burrito,57,4.38,249.66
2025-03-03,Burger,45,9.89,445.05
2025-03-03,Tacos,64,13.14,840.96
2025-03-03,Soup,89,10.36,922.04
2025-03-03,Pasta,92,9.68,890.56
2025-03-03,Smoothie,87,14.15,1231.05
2025-03-04,Tacos,82,10.89,892.98
2025-03-04,Burger,18,4.7,84.60000000000001
2025-03-04,Pasta,91,14.66,1334.06
2025-03-04,Veg Wrap,21,11.95,250.95
2025-03-04,Steak,37,7.51,277.87
2025-03-04,Fried Chicken,68,7.09,482.12
2025-03-04,Smoothie,57,6.74,384.18
2025-03-04,Burrito,51,12.32,628.32
2025-03-04,Pizza,82,10.15,832.3000000000001
2025-03-04,Grilled Sandwich,16,4.87,77.92
2025-03-05,Burger,44,5.59,245.95999999999998
2025-03-05,Ice Cream,75,4.37,327.75
2025-03-05,Pizza,65,4.33,281.45
2025-03-05,Tacos,96,11.14,1069.44
2025-03-05,Fries,72,9.32,671.04
2025-03-05,Grilled Sandwich,49,3.55,173.95
2025-03-05,Burrito,60,14.81,888.6
2025-03-05,Soup,17,3.09,52.53
2025-03-05,Salad,48,14.34,688.3199999999999
2025-03-06,Sushi,73,11.96,873.08
2025-03-06,Tacos,32,4.55,145.6
2025-03-06,Burrito,78,11.44,892.3199999999999
2025-03-06,Fried Chicken,74,9.7,717.8
2025-03-06,Pizza,95,12.67,1203.65
2025-03-06,Burger,19,7.76,147.44
2025-03-07,Burger,63,6.47,407.60999999999996
2025-03-07,Grilled Sandwich,61,3.25,198.25
2025-03-07,Veg Wrap,51,5.06,258.06
2025-03-07,Fries,89,8.52,758.28
2025-03-07,Pizza,98,14.04,1375.9199999999998
2025-03-07,Fried Chicken,21,8.24,173.04
2025-03-07,Burrito,23,5.92,136.16
2025-03-07,Soup,85,7.81,663.85
2025-03-07,Smoothie,20,7.75,155.0
2025-03-07,Steak,49,11.95,585.55
2025-03-08,Fried Chicken,77,9.12,702.2399999999999
2025-03-08,Sushi,54,7.21,389.34
2025-03-08,Pasta,92,12.78,1175.76
2025-03-08,Pizza,40,4.23,169.20000000000002
2025-03-08,Soup,42,5.37,225.54
2025-03-08,Steak,87,4.83,420.21
2025-03-09,Pizza,50,4.81,240.49999999999997
2025-03-09,Pasta,18,8.63,155.34
2025-03-09,Sushi,90,6.63,596.7
2025-03-09,Ice Cream,45,10.1,454.5
2025-03-09,Fries,55,9.09,499.95
2025-03-09,Steak,49,8.54,418.46
2025-03-09,Smoothie,14,3.68,51.52
2025-03-09,Fried Chicken,46,3.92,180.32
2025-03-09,Grilled Sandwich,21,10.38,217.98000000000002
2025-03-09,Soup,74,7.61,563.14
2025-03-10,Soup,70,9.02,631.4
2025-03-10,Sushi,17,8.41,142.97
2025-03-10,Steak,53,14.79,783.87
2025-03-10,Burger,20,9.05,181.0
2025-03-10,Fries,32,3.47,111.04
2025-03-10,Smoothie,100,8.25,825.0
2025-03-10,Salad,66,9.29,613.14
2025-03-10,Fried Chicken,88,4.9,431.20000000000005
2025-03-10,Tacos,57,14.02,799.14
2025-03-11,Grilled Sandwich,52,4.13,214.76
2025-03-11,Sushi,96,7.64,733.4399999999999
2025-03-11,Fried Chicken,42,11.68,490.56
2025-03-11,Ice Cream,94,14.57,1369.58
2025-03-11,Smoothie,87,13.48,1172.76
2025-03-11,Burger,52,3.98,206.96
2025-03-11,Burrito,94,4.7,441.8
2025-03-11,Pizza,54,6.72,362.88
2025-03-12,Steak,26,11.04,287.03999999999996
2025-03-12,Ice Cream,97,13.95,1353.1499999999999
2025-03-12,Grilled Sandwich,21,10.75,225.75
2025-03-12,Pasta,64,9.1,582.4
2025-03-12,Smoothie,12,7.35,88.19999999999999
2025-03-12,Pizza,33,14.41,475.53000000000003
2025-03-12,Tacos,53,14.37,761.61
2025-03-12,Sushi,72,5.3,381.59999999999997
2025-03-12,Fried Chicken,27,4.86,131.22
2025-03-12,Veg Wrap,47,13.13,617.11
2025-03-13,Soup,14,10.94,153.16
2025-03-13,Sushi,89,4.57,406.73
2025-03-13,Veg Wrap,58,4.85,281.29999999999995
2025-03-13,Steak,33,12.98,428.34000000000003
2025-03-13,Burrito,89,12.71,1131.19
2025-03-14,Steak,66,10.33,681.78
2025-03-14,Fries,67,5.81,389.27
2025-03-14,Burger,40,6.71,268.4
2025-03-14,Grilled Sandwich,70,13.85,969.5
2025-03-14,Fried Chicken,34,7.41,251.94
2025-03-14,Salad,83,14.81,1229.23
2025-03-15,Sushi,35,12.62,441.7
2025-03-15,Tacos,27,13.48,363.96000000000004
2025-03-15,Veg Wrap,16,10.69,171.04
2025-03-15,Grilled Sandwich,57,9.65,550.0500000000001
2025-03-15,Soup,23,11.54,265.41999999999996
2025-03-15,Ice Cream,76,13.21,1003.96
2025-03-15,Steak,46,4.01,184.45999999999998
2025-03-15,Pasta,30,6.27,188.1
2025-03-16,Pasta,16,7.76,124.16
2025-03-16,Burrito,57,5.83,332.31
2025-03-16,Grilled Sandwich,20,7.5,150.0
2025-03-16,Pizza,13,6.82,88.66
2025-03-16,Salad,22,13.07,287.54
2025-03-16,Fries,93,7.02,652.86
2025-03-16,Fried Chicken,28,4.65,130.20000000000002
2025-03-16,Burger,46,14.01,644.46
2025-03-16,Ice Cream,70,11.35,794.5
2025-03-17,Sushi,20,3.23,64.6
2025-03-17,Steak,37,13.02,481.74
2025-03-17,Fries,80,14.28,1142.3999999999999
2025-03-17,Veg Wrap,87,9.33,811.71
2025-03-17,Smoothie,24,12.31,295.44
2025-03-17,Burger,40,6.61,264.40000000000003
2025-03-18,Salad,18,4.33,77.94
2025-03-18,Grilled Sandwich,73,10.16,741.6800000000001
2025-03-18,Ice Cream,12,10.58,126.96000000000001
2025-03-18,Smoothie,83,5.9,489.70000000000005
2025-03-18,Fries,28,6.5,182.0
2025-03-19,Smoothie,33,10.97,362.01000000000005
2025-03-19,Fried Chicken,20,9.28,185.6
2025-03-19,Salad,56,3.81,213.36
2025-03-19,Veg Wrap,77,9.53,733.81
2025-03-19,Grilled Sandwich,74,9.65,714.1
2025-03-20,Burrito,55,12.46,685.3000000000001
2025-03-20,Fries,54,5.89,318.06
2025-03-20,Burger,94,10.54,990.7599999999999
2025-03-20,Ice Cream,84,11.82,992.88
2025-03-20,Grilled Sandwich,52,4.6,239.2
2025-03-20,Fried Chicken,55,9.55,525.25
